decile,n,proba_moy,gain_moy,gain_total_decile,gain_total_cum
D1,68,0.015031993544054052,-0.1797440516475676,-12.222595512034596,-12.222595512034596
D2,67,0.02696910359835578,-0.08424717121315375,-5.644560471281301,-17.867155983315897
D3,67,0.04045142976314502,0.023611438105160237,1.581966353045736,-16.28518963027016
D4,67,0.0617254751023744,0.1938038008189952,12.984854654872679,-3.3003349753974813
D5,67,0.10399639056255368,0.5319711245004294,35.64206534152877,32.34173036613129
D6,67,0.1655013678730047,1.0240109429840376,68.60873317993052,100.95046354606181
D7,67,0.24485597291163394,1.6588477832930715,111.14280148063578,212.0932650266976
D8,67,0.383085856708225,2.7646868536658,185.2340191956086,397.32728422230616
D9,67,0.58526496675813,4.38211973406504,293.6020221823577,690.9293064046639
D10,68,0.8144683131854035,6.215746505483228,422.6707623728595,1113.6000687775233
